Timestamp,EventType,Details
2026-01-09 10:42:21,Trip_Start,Detection started.
2026-01-09 10:42:21,State,attentive
2026-01-09 10:42:22,State,attentive
2026-01-09 10:42:24,State,attentive
2026-01-09 10:42:25,State,drowsy
2026-01-09 10:42:26,State,attentive
2026-01-09 10:42:27,State,attentive
2026-01-09 10:42:28,State,attentive
2026-01-09 10:42:29,State,attentive
2026-01-09 10:42:30,State,drowsy
2026-01-09 10:42:31,State,drowsy
2026-01-09 10:42:32,State,drowsy
2026-01-09 10:42:33,State,drowsy
2026-01-09 10:42:34,State,drowsy
2026-01-09 10:42:36,State,drowsy
2026-01-09 10:42:36,Drowsy_Warning,Drowsy for 6s.
