Timestamp,EventType,Details
2025-11-30 22:50:19,Trip_Start,Detection started.
2025-11-30 22:50:19,State,drowsy
2025-11-30 22:50:20,State,attentive
2025-11-30 22:50:21,State,attentive
2025-11-30 22:50:22,State,attentive
2025-11-30 22:50:23,State,attentive
2025-11-30 22:50:24,State,attentive
2025-11-30 22:50:25,State,attentive
2025-11-30 22:50:26,State,drowsy
2025-11-30 22:50:27,State,attentive
2025-11-30 22:50:28,State,drowsy
2025-11-30 22:50:29,State,drowsy
2025-11-30 22:50:30,State,attentive
2025-11-30 22:50:31,State,attentive
2025-11-30 22:50:33,State,drowsy
2025-11-30 22:50:34,State,drowsy
2025-11-30 22:50:35,State,attentive
2025-11-30 22:50:36,State,attentive
2025-11-30 22:50:37,State,drowsy
2025-11-30 22:50:38,State,attentive
2025-11-30 22:50:39,State,attentive
2025-11-30 22:50:40,State,attentive
2025-11-30 22:50:41,State,attentive
2025-11-30 22:50:42,State,attentive
2025-11-30 22:50:43,State,drowsy
2025-11-30 22:50:44,State,drowsy
2025-11-30 22:50:45,State,attentive
2025-11-30 22:50:46,State,attentive
2025-11-30 22:50:47,State,drowsy
2025-11-30 22:50:48,State,attentive
2025-11-30 22:50:49,State,attentive
2025-11-30 22:50:50,State,attentive
2025-11-30 22:50:51,State,drowsy
2025-11-30 22:50:52,State,drowsy
2025-11-30 22:50:53,State,drowsy
2025-11-30 22:50:55,State,drowsy
2025-11-30 22:50:56,State,drowsy
2025-11-30 22:50:57,State,drowsy
2025-11-30 22:50:58,State,drowsy
2025-11-30 22:50:59,State,drowsy
2025-11-30 22:50:59,Drowsy_Warning,Drowsy for 6s.
