
------------------------------
     TRIP SAFETY REPORT
------------------------------
Total Drive Time: 3.86 minutes
Final Driver Safety Score: 85/100

--- Total Incidents Logged ---
  - Yawn Warnings: 1
  - Drowsy Warnings: 1

Full event log saved to: D:\00_All_Projects\00_Active\01_Drowsiness\CustomKTinker\trip_safety_logs\Trip_Log_2025-12-01_11-00-51.csv
------------------------------

--- Full Event Log ---
Timestamp,EventType,Details
2025-12-01 11:00:59,Trip_Start,Detection started.
2025-12-01 11:01:00,State,attentive
2025-12-01 11:01:01,State,attentive
2025-12-01 11:01:02,State,attentive
2025-12-01 11:01:03,State,attentive
2025-12-01 11:01:04,State,attentive
2025-12-01 11:01:05,State,attentive
2025-12-01 11:01:06,State,attentive
2025-12-01 11:01:07,State,drowsy
2025-12-01 11:01:08,State,attentive
2025-12-01 11:01:09,State,attentive
2025-12-01 11:01:11,State,attentive
2025-12-01 11:01:12,State,attentive
2025-12-01 11:01:13,State,attentive
2025-12-01 11:01:14,State,attentive
2025-12-01 11:01:15,State,attentive
2025-12-01 11:01:16,State,attentive
2025-12-01 11:01:17,State,attentive
2025-12-01 11:01:18,State,attentive
2025-12-01 11:01:19,State,attentive
2025-12-01 11:01:20,State,yawn
2025-12-01 11:01:21,State,attentive
2025-12-01 11:01:22,State,attentive
2025-12-01 11:01:23,State,attentive
2025-12-01 11:01:24,State,attentive
2025-12-01 11:01:25,State,attentive
2025-12-01 11:01:27,State,attentive
2025-12-01 11:01:28,State,attentive
2025-12-01 11:01:29,State,attentive
2025-12-01 11:01:30,State,drowsy
2025-12-01 11:01:31,State,attentive
2025-12-01 11:01:32,State,attentive
2025-12-01 11:01:33,State,attentive
2025-12-01 11:01:34,State,drowsy
2025-12-01 11:01:35,State,drowsy
2025-12-01 11:01:36,State,attentive
2025-12-01 11:01:37,State,attentive
2025-12-01 11:01:38,State,attentive
2025-12-01 11:01:39,State,attentive
2025-12-01 11:01:40,State,attentive
2025-12-01 11:01:41,State,attentive
2025-12-01 11:01:43,State,attentive
2025-12-01 11:01:44,State,drowsy
2025-12-01 11:01:45,State,attentive
2025-12-01 11:01:46,State,attentive
2025-12-01 11:01:47,State,attentive
2025-12-01 11:01:48,State,attentive
2025-12-01 11:01:49,State,drowsy
2025-12-01 11:01:50,State,drowsy
2025-12-01 11:01:51,State,attentive
2025-12-01 11:01:52,State,attentive
2025-12-01 11:01:53,State,attentive
2025-12-01 11:01:54,State,attentive
2025-12-01 11:01:55,State,attentive
2025-12-01 11:01:56,State,drowsy
2025-12-01 11:01:57,State,attentive
2025-12-01 11:01:58,State,attentive
2025-12-01 11:02:00,State,drowsy
2025-12-01 11:02:01,State,drowsy
2025-12-01 11:02:02,State,attentive
2025-12-01 11:02:03,State,attentive
2025-12-01 11:02:04,State,attentive
2025-12-01 11:02:05,State,drowsy
2025-12-01 11:02:06,State,attentive
2025-12-01 11:02:07,State,attentive
2025-12-01 11:02:08,State,attentive
2025-12-01 11:02:09,State,drowsy
2025-12-01 11:02:10,State,yawn
2025-12-01 11:02:11,State,attentive
2025-12-01 11:02:12,Yawn_Warning,5 yawns detected.
2025-12-01 11:02:13,State,attentive
2025-12-01 11:02:14,State,attentive
2025-12-01 11:02:15,State,attentive
2025-12-01 11:02:16,State,attentive
2025-12-01 11:02:17,State,attentive
2025-12-01 11:02:18,State,drowsy
2025-12-01 11:02:19,State,drowsy
2025-12-01 11:02:20,State,drowsy
2025-12-01 11:02:21,State,drowsy
2025-12-01 11:02:22,State,attentive
2025-12-01 11:02:23,State,attentive
2025-12-01 11:02:24,State,attentive
2025-12-01 11:02:25,State,attentive
2025-12-01 11:02:27,State,attentive
2025-12-01 11:02:28,State,attentive
2025-12-01 11:02:29,State,attentive
2025-12-01 11:02:30,State,attentive
2025-12-01 11:02:31,State,attentive
2025-12-01 11:02:32,State,attentive
2025-12-01 11:02:33,State,attentive
2025-12-01 11:02:34,State,attentive
2025-12-01 11:02:35,State,attentive
2025-12-01 11:02:36,State,drowsy
2025-12-01 11:02:37,State,attentive
2025-12-01 11:02:38,State,drowsy
2025-12-01 11:02:39,State,attentive
2025-12-01 11:02:40,State,drowsy
2025-12-01 11:02:41,State,drowsy
2025-12-01 11:02:42,State,drowsy
2025-12-01 11:02:43,State,drowsy
2025-12-01 11:02:44,State,drowsy
2025-12-01 11:02:46,State,drowsy
2025-12-01 11:02:46,Drowsy_Warning,Drowsy for 6s.
2025-12-01 11:02:47,State,drowsy
2025-12-01 11:02:48,State,drowsy
2025-12-01 11:02:49,State,drowsy
2025-12-01 11:02:50,State,drowsy
2025-12-01 11:02:51,State,drowsy
2025-12-01 11:02:52,State,drowsy
