
------------------------------
     TRIP SAFETY REPORT
------------------------------
Total Drive Time: 9.40 minutes
Final Driver Safety Score: 90/100

--- Total Incidents Logged ---
  - Yawn Warnings: 0
  - Drowsy Warnings: 1

Full event log saved to: D:\00_All_Projects\00_Active\01_Drowsiness\CustomKTinker\trip_safety_logs\Trip_Log_2025-12-01_09-38-00.csv
------------------------------

--- Full Event Log ---
Timestamp,EventType,Details
2025-12-01 09:38:06,Trip_Start,Detection started.
2025-12-01 09:38:07,State,attentive
2025-12-01 09:38:08,State,attentive
2025-12-01 09:38:10,State,attentive
2025-12-01 09:38:11,State,drowsy
2025-12-01 09:38:12,State,attentive
2025-12-01 09:38:13,State,attentive
2025-12-01 09:38:14,State,attentive
2025-12-01 09:38:15,State,drowsy
2025-12-01 09:38:16,State,attentive
2025-12-01 09:38:17,State,attentive
2025-12-01 09:38:18,State,attentive
2025-12-01 09:38:19,State,attentive
2025-12-01 09:38:20,State,attentive
2025-12-01 09:38:21,State,drowsy
2025-12-01 09:38:22,State,attentive
2025-12-01 09:38:23,State,attentive
2025-12-01 09:38:24,State,attentive
2025-12-01 09:38:25,State,attentive
2025-12-01 09:38:26,State,drowsy
2025-12-01 09:38:28,State,drowsy
2025-12-01 09:38:29,State,attentive
2025-12-01 09:38:30,State,attentive
2025-12-01 09:38:31,State,attentive
2025-12-01 09:38:32,State,attentive
2025-12-01 09:38:33,State,drowsy
2025-12-01 09:38:34,State,drowsy
2025-12-01 09:38:35,State,drowsy
2025-12-01 09:38:36,State,attentive
2025-12-01 09:38:37,State,attentive
2025-12-01 09:38:38,State,attentive
2025-12-01 09:38:39,State,attentive
2025-12-01 09:38:40,State,attentive
2025-12-01 09:38:41,State,attentive
2025-12-01 09:38:42,State,attentive
2025-12-01 09:38:43,State,attentive
2025-12-01 09:38:44,State,drowsy
2025-12-01 09:38:45,State,drowsy
2025-12-01 09:38:46,State,attentive
2025-12-01 09:38:48,State,drowsy
2025-12-01 09:38:49,State,attentive
2025-12-01 09:38:50,State,attentive
2025-12-01 09:38:51,State,attentive
2025-12-01 09:38:52,State,attentive
2025-12-01 09:38:53,State,attentive
2025-12-01 09:38:54,State,attentive
2025-12-01 09:38:55,State,attentive
2025-12-01 09:38:56,State,attentive
2025-12-01 09:38:58,State,attentive
2025-12-01 09:38:59,State,drowsy
2025-12-01 09:39:00,State,attentive
2025-12-01 09:39:01,State,attentive
2025-12-01 09:39:02,State,attentive
2025-12-01 09:39:03,State,attentive
2025-12-01 09:39:04,State,attentive
2025-12-01 09:39:05,State,attentive
2025-12-01 09:39:06,State,attentive
2025-12-01 09:39:07,State,attentive
2025-12-01 09:39:08,State,attentive
2025-12-01 09:39:10,State,attentive
2025-12-01 09:39:11,State,attentive
2025-12-01 09:39:12,State,drowsy
2025-12-01 09:39:13,State,attentive
2025-12-01 09:39:14,State,attentive
2025-12-01 09:39:15,State,attentive
2025-12-01 09:39:16,State,attentive
2025-12-01 09:39:17,State,attentive
2025-12-01 09:39:18,State,attentive
2025-12-01 09:39:19,State,attentive
2025-12-01 09:39:21,State,attentive
2025-12-01 09:39:22,State,attentive
2025-12-01 09:39:23,State,attentive
2025-12-01 09:39:24,State,attentive
